Experiment,Dataset,Setting,Model,Task,Segment Balanced Accuracy,Segment Accuracy,Segment Macro F1,STD,n_folds,n_test_segments,n_test_subjects
creativity_to_design_rest_ig_eegnet,Creativity,Cross-dataset,EEGNet,RST vs IDG,0.7191,0.8009,0.7259,,,216,27.0
creativity_to_design_eegnet,Creativity,Cross-dataset,EEGNet,RST / IDG / IDE,0.4959,0.5159,0.4903,,,378,27.0
design_to_creativity_rest_ig_eegnet,Design,Cross-dataset,EEGNet,RST vs IDG,0.5,0.4,0.2857,,,140,28.0
design_to_creativity_eegnet,Design,Cross-dataset,EEGNet,RST / IDG / IDE,0.3333,0.25,0.1333,,,224,28.0
creativity_cross_eegnet,Creativity,Cross-subject,EEGNet,RST / IDG / IDE,0.7778,0.7545,0.7763,0.1571,28.0,224,28.0
creativity_cross_logreg,Creativity,Cross-subject,Logistic Regression,RST / IDG / IDE,0.6409,0.5982,0.5542,0.1596,28.0,224,28.0
design_cross_eegnet,Design,Cross-subject,EEGNet,RST / IDG / IDE,0.8621,0.8386,0.8451,0.1255,27.0,378,27.0
design_cross_logreg,Design,Cross-subject,Logistic Regression,RST / IDG / IDE,0.7654,0.7196,0.7713,0.1732,27.0,378,27.0
creativity_within_logreg,Creativity,Within-subject,Logistic Regression,RST / IDG / IDE,0.5595,0.5089,0.513,0.4189,140.0,224,28.0
creativity_within_linear_svm,Creativity,Within-subject,Linear SVM,RST / IDG / IDE,0.5397,0.4866,0.4715,0.4198,140.0,224,28.0
creativity_within_rbf_svm,Creativity,Within-subject,RBF SVM,RST / IDG / IDE,0.4782,0.4286,0.3888,0.4037,140.0,224,28.0
creativity_within_eegnet,Creativity,Within-subject,EEGNet,RST / IDG / IDE,0.4663,0.4688,0.4601,0.2145,56.0,224,
design_within_logreg,Design,Within-subject,Logistic Regression,RST / IDG / IDE,0.8539,0.8492,0.868,0.2361,135.0,378,27.0
design_within_linear_svm,Design,Within-subject,Linear SVM,RST / IDG / IDE,0.8169,0.8069,0.8327,0.2532,135.0,378,27.0
design_within_rbf_svm,Design,Within-subject,RBF SVM,RST / IDG / IDE,0.7757,0.7646,0.7945,0.2941,135.0,378,27.0
design_within_eegnet,Design,Within-subject,EEGNet,RST / IDG / IDE,0.6564,0.7328,0.6712,0.2071,54.0,378,
